cod_dep,departamento,codigo,municipio,Ranking de la Gestión Municipal 2013,Ranking de la Gestión Municipal 2016,Ranking de la Gestión Municipal 2018,Tendencia
3,Sacatepéquez,305,Santo Domingo Xenacoj,"0,3356","0,3990","0,4418",
12,San Marcos,1207,Tacaná,"0,3980","0,3963","0,4411",
16,Alta Verapaz,1601,Cobán,"0,6047","0,4785","0,4409",
7,Sololá,718,San Pedro La Laguna,"0,3953","0,3712","0,4392",
22,Jutiapa,2203,Santa Catarina Mita,"0,3759","0,3082","0,4384",
22,Jutiapa,2209,El Adelanto,"0,3221","0,3060","0,4374",
4,Chimaltenango,410,Santa Cruz Balanyá,"0,2887","0,2820","0,4370",
4,Chimaltenango,405,Santa Apolonia,"0,1514","0,2888","0,4357",
12,San Marcos,1218,Ocós,"0,0187","0,2993","0,4356",
17,Petén,1710,Sayaxché,"0,1766","0,4486","0,4356",
17,Petén,1703,San Benito,"0,1520","0,3392","0,4353",
10,Suchitepéquez,1015,Santa Bárbara,"0,2216","0,2542","0,4349",
16,Alta Verapaz,1615,Fray Bartolomé de las Casas,"0,5271","0,4580","0,4349",
8,Totonicapán,803,San Francisco El Alto,"0,4355","0,1863","0,4346",
9,Quetzaltenango,917,Colomba,"0,1942","0,3229","0,4331",
9,Quetzaltenango,920,Coatepeque,"0,3939","0,2902","0,4290",
19,Zacapa,1903,Río Hondo,"0,2665","0,2954","0,4287",
20,Chiquimula,2005,Camotán,"0,3918","0,2392","0,4283",
2,El Progreso,206,Sansare,"0,4282","0,2538","0,4269",
16,Alta Verapaz,1604,Tactic,"0,4939","0,4971","0,4264",
6,Santa Rosa,606,Oratorio,"0,3243","0,1704","0,4255",
22,Jutiapa,2202,El Progreso,"0,4467","0,1960","0,4240",
9,Quetzaltenango,911,Concepción Chiquirichapa,"0,3623","0,1471","0,4220",
22,Jutiapa,2201,Jutiapa,"0,2910","0,1557","0,4199",
14,Quiché,1401,Santa Cruz del Quiché,"0,3185","0,4112","0,4183",
22,Jutiapa,2206,Yupiltepeque,"0,3906","0,3537","0,4168",
13,Huehuetenango,1308,San Pedro Soloma,"0,2892","0,2118","0,4138",
12,San Marcos,1204,Comitancillo,"0,4559","0,4011","0,4134",
19,Zacapa,1910,Huité,"0,2996","0,2145","0,4117",
12,San Marcos,1209,Tajumulco,"0,2234","0,3525","0,4079",
5,Escuintla,508,Guanagazapa,"0,3293","0,3289","0,4078",
2,El Progreso,201,Guastatoya,"0,3285","0,3573","0,4060",
3,Sacatepéquez,309,Santa Lucía Milpas Altas,"0,3116","0,3503","0,4053",
13,Huehuetenango,1307,Jacaltenango,"0,1869","0,2062","0,4048",
